,label,description,examples
0,защитные факторы/выражение любви,"Класс отражает выражение чувства любви, влюбленности и симпатии к кому-либо.

В этот класс попадают тексты, содержащие:
- выражение любви и симпатии к кому-либо в настоящем;
- выражение любви и симпатии к кому-либо в прошлом;
- восхищение людьми;
- проявление любви к животным;

Одностороннее выражение любви, симпатии, восхищения всегда попадает в этот класс.","уже почти три года я люблю одно человека!
в мире так много мест а я всего-навсего хочу быть рядом с тобой
Я просто хочу ее обнять
Я его люблю Больше всего в жизни.
это началось с 5 класса, когда я перешла в новую школу, а в 11 я встретила любимого.
Он мне признавался в любви, писал стихи, я его полюбила.
И я, которая даже и не подозревала, что меня можно так любить, сама влюбилась по уши.
я приехала домой, в россию, не сомневаясь, что люблю его.
Я люблю видеоблоггера, он старше меня на 8 лет, и он живёт на 8779 км дальше от меня, и вот моя мечта быть с ним рядом всегда.
Я горжусь тобой!"
1,защитные факторы/наличие позитивных социальных связей,"Класс отражает наличие позитивных связей и отношений у автора:

В этот класс попадают тексты, содержащие:
- наличие партнера (девушки, парня), телых/позитивных любовно-романтических отношений в настоящем и прошлом;
- наличие друга/друзей, теплых/позитивных дружеских отношений в настоящем и прошлом;
- наличие теплых отношений с родственниками (мама, папа, бабушка, дедушка, брат, сестра и т/д );
- наличие теплых отношений в семье (муж, жена);
- наличие детей (!);
- позитивная социальная активность и положительное мнение окружающих об авторе (""как хорошо потусили с ребятами"",  ""на работе обо мне приятно отзываютя"" и т/д)
- наличие привязанности к животному (в общем случае, не только домашнему)
- переживание за кого-то

Обратите внивание, что в случае отношений с родственниками и в семье обязательно должно быть указано словестно, что отношения теплые. Простой факт наличия родственников или супруга (""у меня есть мама"", ""мы с братом пошли гулять"", ""у меня есть муж"") не выделяется. 

Наличие детей выделяется даже если это просто сухая констатация факта (""у меня есть сын"", ""воспитываю дочь"").

Если в тексте четко читается взаимное позитивное отношение с третьим лицом. Пример: ""Я ей доверяла, любила её, она поддерживала меня."". В случае отсутствия фразы ""она поддерживада меня"", это был бы класс только с ""выражение любви"".","Очень бережно ко мне относился и относится.
А он был безумно счастлив и мы стали вместе жить.
Мы с ним опять сошлись, я была рада, что он рядом.
Появился молодой человек, он полюбил меня такую какая я есть.
Хоть и редкое, но когда мы пообщаемся, я чувствую себя счастливой.
Мы с ней и на данный момент хорошо общаемся.
Мне повезло, почти сразу я там встретила партнера хорошего, который стал мне и партнером по жизни.
Семья - мама, самый любимый человек, которому я обязана своей жизнью и существую только ради нее!
Мама у меня очень хорошая.
Когда брат еще не родился, мы ладили, со старшей сестрой были теплые и хорошие отношения.
Приятно было когда дочка говорила, что хочет быть похожей на меня.
И я тоже ему понравилась
Я очень боюсь, что родители расстроятся"
2,защитные факторы/поиск помощи,"Класс отражает поиск или запрос помощи автором :

В этот класс попадают тексты, содержащие:
- поиск помощи в настоящем и прошлом;
- поиск совета;
- желание выговориться;
- обращение к читалею текста с пожеланиями;","Кажется, мне очень нужна помощь.
Я пишу здесь, потому что ищу хоть какую-то помощь.
помогите мне, я не знаю что мне делать
такая вот ситуация прошу вас помогите
Что со мной происходит, я не знаю, помогите!
Думаю может здесь мне помогут советом.
что мне делать, как стать спокойней, терпеливей( помогите
Пожалуйста люди подскажите как мне дальше жить:-(
Мне нужен совет, как остаться жить.
Как его вернуть помогите, что мне делать!
Может скажете зачем я это пишу, но правда нужно высказаться больше не могу носить все в себе.
я очень хочу поделиться.
Но я просил их помочь морально.
В конце концов я хочу пожелать прочитавшим это людям, чтобы они никогда с таким не сталкивались, были счастливы, любили и были любимы, занимались тем чем им нравится"
3,защитные факторы/желание любви и отношений,"Класс отражает желание, потребность, поиск, стремление к любви и теплым отношениям автором :

В этот класс попадают тексты, содержащие:
- желание любви, быть любимым и любить;
- желание создать семью;
- желание близости, отношений.","Я хочу просто любви.
Ладно я просто хочу девушку.
я хочу быть красивой, хочу любить себя, хочу нравиться другим.
Я хочу Любить ЕЁ!
я так хочу любви.
Я очень мечтаю о любви, отношениях с парнем.
А я мечтаю о муже, о детях."
4,защитные факторы/позитивная самооценка,"Класс отражает позитивное самоощущение, высокую самооценку атвора. Противоположность для класса из пресуцидальной карты ""Негативное самоощущение""

В этот класс попадают тексты, содержащие:
- позитивное самоощущение, самоценка в настойщем и прошлом;
- наличие позитивной личной особенности;
- личные успехи и достижения;
- перечисление благополучиных качеств о себе, признание достижений;
- вера в себя","Я хочу напомнить всем, что под солнцем у меня очень красивые глаза.
Я очень добрый и хороший человек!
Я сам дружелюбный и позитивный человек.
У меня отличное чувство юмора.
Мне 24 года, я внешне очень привлекательна, начитана, могу поддержать практически любой разговор, я душа кампании, меня всегда громче всех слышно, я всегда много шучу и смеюсь.
Ну, разумеется, ведь я такая жизнерадостная.
По сути я была (а может ещё и осталась)жизнерадостным человеком
Я на отлично сдала все экзамены.
Я смог получить эту работу.
Я стал призером районной олимпиады.
Знаю, что я добьюсь чего то в своем деле"
5,защитные факторы/позитивные установки,"Класс отражает позитивные установки и убеждения автора. Противоположность для класса из пресуцидальной карты ""Негативные установки"":

Позитивные установки — это устойчивые части мировоззрения, которые препятствуют самоубийству. Можно проверить себя, перефразировав фразу по формуле типа ""я считаю, что"" (самоубийство грех, жизнь дана один раз, самоубийство это слабость, всегда можно найти выход из любой ситуации, и т.д.). К примеру, первый текст ""хочу жить дальше, что бы всё стало хорошо."" так не переделать. Здесь же подсказывает слово ""хочу"", что это желание.

В этот класс попадают тексты, содержащие:
- позитивные установки, мысли и убеждения;
- страх перед смертью;
- вера, жизнелюбивое мировозрение (самоубийство - это грех, жизнь - это дар, и т.д.);
- надежда на лучшее;
- забота о своем здоровье.","Сейчас мне все еще страшно покончить с собой.
И я очень-очень надеюсь, что всё-таки эта проблема, которая мучает меня уже 4-й год, решится.
Держу пальцы крестиком, что все образумится и мы сможем вернуться.\
Гладкая ичистая кожа, для меня это свобода и новая жизнь.
Думал врут, что спортзал помогает чувствовать лучше, но ошибался."
6,защитные факторы/поиск счастья и радости,"Класс отражает желание, поиск и стремление к счастью и радости :

В этот класс попадают тексты, содержащие:
- желание жить, испытывать радость и счастье;
- наличие светлого образа будущего;
- желание смены внутреннего состояния к лучшему;","Но глубоко в душе я хочу жить счастливо, каждый день просыпаться с радостью.
Я хочу быть как все, все счастливы, у кого семьи, у кого хорошая работа, статус, своя жил площать, кто то достиг много.
Очень хочу стать нормальным, счастливым человеком"
7,защитные факторы/материальные желания,"Класс отражает материальные потребности и желания:

В этот класс попадают тексты, содержащие:
- желание обладать чем-то материальным;","Так же я хочу новый телефон, у меня 7айфон.
Я ТАК ХОЧУ КУПИТЬ ЕГО ОН ТАКОЙ МАЛЮСЕНЬКИЙ И ТАКОЙ НЯЯННЯНЯНЯ 😭😭😭😭😭
А я так люблю уют, мне так хочется ремонт, но это видится недостижимым."
8,"защитные факторы/наличие целей, планов на будущее, любимого дела","Класс отражает наличие целей, планов на будущее, любимого дела:
Связан с какой-либо деятельностью и/или действиями.

В этот класс попадают тексты, содержащие:
- наличие цели (в учебе, работе  т/д);
- выражение мечты в виде цели;
- наличие увлечения;
- наличие умения;
- выражнеи интереса к чему-либо;
- попытки исправить ситуацию в жизни (прошлое, настоящее, будущее времена)","Я ведь очень хочу учиться, правда!
Мечтаю о стабильной работе
Я хочу заниматься тем чем мне нравится!
только в 20 лет я поняла, что мечта всей моей жизни - творчество, а именно пение и танцы.
Одна лишь мысль про писанину мне приносит радость.
У меня есть мечта - поступить в хороший университет, все дела.
я сочиняю песни и музыку, люблю помогать людям.
Скажу, что учиться я очень люблю, Могу целыми днями в библиотеке сидеть со словарями и энциклопедиями
Единственное, что радует меня в жизни-это пение.         
Я слушаю рок, смотрю аниме, очень много читаю, увлекаюсь психологией, писательством, серьезно занимаюсь спортом и бросать ни в коем случае не собираюсь, рисую.
Решила что пора меняться, что то делать, чтобы быть лучше"
9,"защитные факторы/выражение счастья, радости, удовлетворенности","Класс отражает чувство счастья, радости, удовлетворенности :

В этот класс попадают тексты, содержащие:
- выражение счастья, радости и удовлетворенности;
- романтичность;
- смех;
- позитивные воспоминания","Я радовалась за неё.
Я как школьник, повстречавший первую любовь.
Я в кой-то веки была счастлива.
я так счастлива что тогда не отказалась погулять с ней.
Я по настоящему была счастлива.
Я чувствовал себя самым счастливым человеком на Земле
Я взяла музыку и была счастлива.
Я так выросла за эти 3 года в колледже, мне всё безумно понравилось.
У меня был свой прекрасный мир, своя атмосфера в жизни, тогда я понимал, что все на своих местах и знал, что мне нужно делать.
Я очень высоко в жизни взлетел - было все: Отдых заганицей - 2 раза в год, отличный доход, шикарная квартира.
При этом я уверен, что смогу сделать свою жену счастливой мамой.
Это будет прекрассно. По плану мы будет делать все вышеперечисленное под мороженное, вино и + мелодрамы.
я только что посмотрела тизер к камбэку МНЕ НАСТОЛЬКО СМЕШНО БОЖЕЧУДБС
При этом я понимаю как прекрасна жизнь, мне нравиться смотреть на небо и видеть его, слушать музыку, дышать воздухом наслаждаться радостью общения,"
