,label,description,keyword,examples,anti_examples
0,клинические проявления/депрессия,"В этот класс попадают тексты с фактами или упоминаниями диагноза ""депрессия"", а также симптомы депрессии:
- подавленное настроение (может проявляться в прослушивании печальной музыки)
- потеря аппетита;
- проблемы с характером: отдаление, надутость, а также ранимость;
- проблемы с бытовыми привычными действиями (не выходит из дома несколько дней, не чистит зубы, не может заставить сделать себя хоть-что нибудь)
- резкое снижение повседневной активности;
- изменение привычек, например, несоблюдение правил личной гигиены, ухода за внешностью;
- коды МКБ 10 депрессии F32, F33
- прием антидеприссантов

Для справки:

Депре́ссия (от лат. deprimo «давить (вниз), подавить») — психическое расстройство, основными признаками которого являются сниженное — угнетённое, подавленное, тоскливое, тревожное, боязливое или безразличное — настроение и снижение или утрата способности получать удовольствие (ангедония). Обычно также присутствуют некоторые из следующих симптомов: сниженная самооценка, потеря интереса к жизни и к привычной деятельности, неадекватное чувство вины, пессимизм, нарушение концентрации внимания, усталость или отсутствие энергии, расстройства сна и аппетита, суицидальные тенденции. Тяжёлые формы депрессии характеризуются так называемой «депрессивной триадой»: снижением настроения, заторможенностью мышления и двигательной заторможенностью.","депрессия, депра","знаете какая моя самая любимая строчка из песен Мелани Мартинез?\n""Kids are still depressed when you dress them up."" (""Дети остаются в депрессии даже если красиво одеты."")\nпотому, что это про меня.\nмне всю жизнь говорили: ""посмотри у тебя же всё есть! тебе всё покупают!""

Мечтаю сходить и помыть голову, но мне так лень и сил нет держать душ в руке и вообще вот это все. Уже четвёртый день не мою, выгляжу как бомж

Кажется у меня снова этот период депрессии, ура ; 

Психиатр повысил мне дозировку антидепрессанта и посоветовал дальше низкя не работать и не ругать себя за это. Он мне в принципе начинает нравиться.",
1,клинические проявления/бессоница,"Бессоница -- заболевание, которое не дает человеку заснуть. В этот класс попадают тексты, содержащие:
- проблемы со сном из-за бессонницы;
- невозможность уснуть;
- ночные кошмары;
- факт приема снотворных препаратов",,"Остался 1час и 5 минут до попытки «уснуть»

Не могу уснуть уже которую ночь

Опять это кошмар приснился; мне снова начали сниться жуткие кошмары. боль в сердце тоже участилась.

Я напился и все равно не смог и не могу спать",
2,клинические проявления/расстройство пищевого поведения (рпп),"Расстройства пищевого поведения (рпп) — ряд поведенческих синдромов, связанных с нарушениями процесса принятия пищи.

Коды МКБ-10 для РПП (F50.0 - F50.9 https://mkb-10.com/index.php?pid=4289) 

В этот класс попадают тексты, содержащие:
- любых симптомов и диагнозов из справки ниже;
- любых кодов из справки ниже;
- заявления о том, что стошнит после приема пиши, невозможность нормально есть; 
- ярко выраженное недовольство своим весом и фигурой;
- навязчивые мысли о том, что этот недостаток внешности влияет на всю жизнь (учебу, работу, отношения с другими людьми);

Для справки:
Врачи выделяют 4 вида расстройств пищевого поведения:

Анорексия. Характеризуется патологическим страхом перед прибавлением в весе.
Булимия. Характеризуется склонностью к перееданию и сопровождается сильными приступами голода.
Орторексия. Характеризуется навязчивым стремлением есть только «правильные» продукты.
Компульсивное переедание. Характеризуется чрезмерным употреблением пищи, причина которого – «заедание», в основе которого лежат психологические факторы

В МКБ-10 выделяется несколько видов расстройств приёма пищи:

нервная анорексия (F50.0);
атипичная нервная анорексия (F50.1);
нервная булимия (F50.2);
атипичная нервная булимия (F50.3);
психогенное переедание;
психогенная рвота;
поедание несъедобного неорганического происхождения у взрослых (F50.8);
поедание несъедобного (извращённый аппетит) у взрослых (F50.8);
психогенная утрата аппетита (F50.8);
неуточнённые расстройства приёма пищи (F50.9).
нервная анорексия (F50.0);
атипичная нервная анорексия (F50.1);
нервная булимия (F50.2);
атипичная нервная булимия (F50.3);
психогенное переедание;
психогенная рвота;
поедание несъедобного неорганического происхождения у взрослых (F50.8);
поедание несъедобного (извращённый аппетит) у взрослых (F50.8);
психогенная утрата аппетита (F50.8);
неуточнённые расстройства приёма пищи (F50.9).    ",,"одна щетка, чтобы эмаль была белой и пустой; другая же, чтобы желудок _тоже_ был чистым. ; таблетки кончились, рпп вернулось; 

Парадокс анорексии: ты всегда одновременно хочешь и не хочешь есть",
3,"клинические проявления/усталость, стресс, истощение ресурсов","Проявления физической и/или эмоциональной усталости, стресса, состония истощения физических и/или эмоциональных ресурсов.

В этот класс попадают тексты, содержащие:
- Недосыпа, невыспанности (не путать с бессоницей -- систематическими проблемами со сном);
- непосильной нагрузки на учебе или работе;
- Усталости, отсутствия сил;
- Эмоционального выгорания;
- плаксивость (частые и необоснованные приступы плача);
- апатия.
- ухудшение когнитивных функций  от нагрузки и усталости (память, внимание, концентрация, мышление)",,"Я жутко не выспалась😭😭Причем я сегодня могла бы спать до 9, но нужно отвести брата на соревнования, поэтому пришлось подняться в 😩6:300😩

Как же меня раздражает, что по будням я еле встаю на работу, зато по выходным просыпаюсь в 7 утра легко и непринуждённо.

надо довести себя до состояния когда начнешь вывешиваться из окна и бросаться на других, ток тогда тебе скажут ТАК И БЫТЬ МОЖЕШЬ СИДЕТЬ ОТДЫХАТЬ только пожалуйста не зарежь никого",
4,"клинические проявления/тревожность, страх, фобии","Тревожность — это негативное эмоциональное состояние, ожидание неприятностей, надвигающейся опасности, неблагополучных событий, несоразмерные реально происходящему ощущения страха и беспокойства. 

В этот класс попадают тексты, содержащие упоминания:
- о чувстве тревоги; 
- страха, фобии; 
- чувство надвигающейся опасности несоразмерной реальной ситуации


Для справки:

Эмоциональные проявления тревожности включают «чувство страха, проблемы с концентрацией внимания, напряжение или нервозность, ожидание худшего, раздражительность, беспокойство, наблюдение (и ожидание) признаков (и событий) опасности и ощущение, что разум стал пустым», а также «кошмары, навязчивые мысли, дежавю и ощущение ловушки в собственном разуме» C когнитивной точки зрения тревожность проявляется мыслями о предполагаемых опасностях, например, страхе смерти. «Начинает казаться, что боль в груди — это смертельный сердечный приступ или что стреляющие боли в голове — результат опухоли или аневризмы. При мыслях о смерти чувствуется сильный страх, ты думаешь о смерти чаще, чем обычно, или вообще не можешь выбросить это из головы» ",,"«Начинает казаться, что боль в груди — это смертельный сердечный приступ или что стреляющие боли в голове — результат опухоли или аневризмы»

""При мыслях о смерти чувствуется сильный страх, ты думаешь о смерти чаще, чем обычно, или вообще не можешь выбросить это из головы»

Но жизнь меня не научила, я стал озлоблен, но в то же время жил со страхом, ДИКИМ И УЖАСНЫМ СТРАХОМ ОТ ТОГО ЧТО ЕСЛИ КТО ТО УЗНАЕТ МЕНЯ УНИЧТОЖАТ МОРАЛЬНО.

Так продолжалось до тех пор, пока моё подсознание не начало бить тревогу, ибо когда ты один, тебе в голову лезут всякого рода негативные мысли.","Поэтому очень боюсь смерти, я не знаю, проживают ли люди с моей болезнью больше 20 лет.  "
5,клинические проявления/другие психические расстройства,"В этот класс попадают тексты, содержащие:
- психиатрические даигнозы (кроме депрессии, РПП и тревожности): шизофрения, биполярное расстройство(биполярка), СДВГ, ПТСР и т/д)
- коды МКБ 10 (кроме депрессии (F32, F33), РПП (F50.0 - F50.9) и тревожности (F41.9, F93.0, F40, F41.0));
- галюцинации;
- факт нахождения в психиатрической больнице;
- факт употребления медикаментов: успокаивающих, транквилизаторов, и т.д. Антидепрессанты и таблетки без контекста психической помочи сюда не .входят.
- Психологические зависимости (игромания, лудомания (азартные игры), клептомания (воровство), нимфомания (гиперсексуальность) и т.д.)
- Описания проблем психолоческого характера
- Факт сопровождения психологом или психиатром

Не попадают: синдромы самозванца и отложенной жизни","шизофрения, шиза, биболярка, прл, пограничное расстройство личности, сдвг, аутист, бар, биполярное аффективное расстройство, пнд, психоневрологический диспансер","подозрение на прл ;) забыла включить в этот списочек

аахахахаэаэа смотрите биполярка ахаахахаха не смешно нихуя......


блять я все еще не могу с того что ради меня психиатр подняла на уши глав врачей пнд у меня в городе и в другом и что меня тупо повезут на скорой в другой город как карете блять
",
6,"клинические проявления/физические заболевания, инвалидность","В этот класс попадают тексты, содержащие: 
- описание физических недостатков и инвалидности (физической или психической), которая заставляет людей чувствовать себя неполноценно; 
- разные болезни, которые осложняют жизнь или вовсе ей угрожают. 
- проблемы с внешностью, типа прыщей и акне. 
- факты, связанные с переживанием физической боли.
- факты проживание с больным родственником 
- упоминания медикаметов, походы в больницу, ремиссии, если нет контекста психологических расстройв.","рак, инвалид, ампутировано, дцп, детский церебральный паралич, спид, вич, гепатит","тема за которую у меня горит всю жизнь.\n\nя как человека которая живёт 13 лет с особенным ребёнком знаю какой это пизднц. ну даунизм и аутизм у кого то ахуеть смешная шутка да а ещё лучше оскорбление.

надеюсь на магию твиттера хоть у меня и мало подписчиков. ребят, у меня беда, маме ампутировали ногу и нам очень нужны деньги. купите пожалуйста мой странный хендмейд. любая копейка мне сейчас очень важна. лайк шер и вот это вот всё

Готова уделить 4-6 часов в неделю переживанию посттравматического синдрома ухода за бабушкой и дедушкой

Поэтому очень боюсь смерти, я не знаю, проживают ли люди с моей болезнью больше 20 лет.",
7,клинические проявления/попытка суицида в прошлом,"В этот класс попадают тексты, содержащие упоминания попыток суицида в прошлом.",,"Мммм, мало того, что этот год был худшим в моей жизни, самым тяжёлым, плюс две попытки суицида, так ещё и новый год будет самый ущербный за всю жизнь! Спасибо, надеюсь не доживу!

вопрос важный и личного характера!\n\nстоит ли на приёме у психолога говорить о своих попытках самоубийства и самоповреждениях? есть ли какие то риски?

Это была вторая на моём пути, в первую меня не приняли, потому что я честно ответила, что у меня есть суицидальные мысли.",
8,"клинические проявления/плач, истерики","
В этот класс попадают тексты, содержащие описание плача, слёз, рыдания, истерики и т.д. (не путать с плаксивостью)",,"Все заснули, а я пошла в ванне рыдать.",
9,деструктивное поведение/самоповреждение,"Класс отражает поведение и мысли, связанные с самоповреждением, порезами, причининение физической боли себе.

В этот класс попадают тексты, содержащие:
- факты самоповрежедний - текст, в котором говорится о том, что человек причиняет себе физическую боль. Чаще всего это выражается в порезах;
- приобретение средств/иснтуремнтов для совершения суицида (веревка/бритва/нож и т/д);
- несуицидальное самоповреждение (то есть порезы/удары с целью снижения душевной боли, а не с целью умереть);
- фантазии и высказывания желаний о порезах  и других самоповреждающих действий",,"тв // самоубийство селфхарм\n\nсперва мне приснилось как я резал себя, потом попытка самоубийства, вчера мне приснилось как мама увидела все мои недавние порезы и поняла что я не закончил резаться и её реакцию.

Ребято, знаю говорила что этого не буду делать но я себе порезала плечо, да я ебанутая. Знаю

0 дней без селфхарма

как только я заканчиваю с селфхармом я нахожу человека которым причиняю себе моральную боль",
